gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
11,e0100,1,1,,,,隊長格の男,ここが分け目だ── 総員、戦形を《双槍騎兵（ドッペルランツェレイター）》へ！,"<audio id=""v63_10000""><source src=""talk/11/v63_10000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v63_10000').play()"">ここが分け目だ──<br/>総員、戦形を《双槍騎兵（ドッペルランツェレイター）》へ！</a>",,,
11,e0100,1,2,,,,猟兵たち,Ｊａ（ヤー）！！,"<audio id=""v999_10000""><source src=""talk/11/v999_10000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v999_10000').play()"">Ｊａ（ヤー）！！</a>",,,
11,e0100,1,3,,,,頭目格の男,我らも行くぞ──！ 赫（かがや）け、《太陽の鷹（エル＝アルコン）》の戦翼！,"<audio id=""v69_10000""><source src=""talk/11/v69_10000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v69_10000').play()"">我らも行くぞ──！<br/>赫（かがや）け、《太陽の鷹（エル＝アルコン）》の戦翼！</a>",,,
11,e0100,1,4,,,,戦士たち,応（ウーラ）！！,"<audio id=""v999_10001""><source src=""talk/11/v999_10001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v999_10001').play()"">応（ウーラ）！！</a>",,,
11,e0100,1,5,,,,頭目格の男,《アイゼンシルト》連隊長、 ゲラント・レイガー殿！,"<audio id=""v69_10001""><source src=""talk/11/v69_10001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v69_10001').play()"">《アイゼンシルト》連隊長、<br/>ゲラント・レイガー殿！</a>",,,
11,e0100,1,6,,,,頭目格の男,停戦の申し出を受け入れる！ ７：３ならばどうだ！？,"<audio id=""v69_10002""><source src=""talk/11/v69_10002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v69_10002').play()"">停戦の申し出を受け入れる！<br/>７：３ならばどうだ！？</a>",,,
11,e0100,1,7,,,,隊長格の男,《クルガ戦士団》副頭目、 ハサン・アルファイド殿！,"<audio id=""v63_10001""><source src=""talk/11/v63_10001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v63_10001').play()"">《クルガ戦士団》副頭目、<br/>ハサン・アルファイド殿！</a>",,,
11,e0100,1,8,,,,隊長格の男,６：４が条件だ！ 退かなければ続行する！,"<audio id=""v63_10002""><source src=""talk/11/v63_10002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v63_10002').play()"">６：４が条件だ！<br/>退かなければ続行する！</a>",,,
11,e0100,1,9,,,,頭目格の男,──いいだろう！ ６：４で我らの勝利だ！,"<audio id=""v69_10003""><source src=""talk/11/v69_10003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v69_10003').play()"">──いいだろう！<br/>６：４で我らの勝利だ！</a>",,,
11,e0100,1,10,,,,頭目格の男,クルガに焔と翼の女神（アルーシャ）の栄光あれ！！,"<audio id=""v69_10004""><source src=""talk/11/v69_10004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v69_10004').play()"">クルガに焔と翼の女神（アルーシャ）の栄光あれ！！</a>",,,
11,e0100,1,11,,,,戦士たち,おおおおおおおっ……！,"<audio id=""v999_10002""><source src=""talk/11/v999_10002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v999_10002').play()"">おおおおおおおっ……！</a>",,,
11,e0100,1,12,,,,少年兵,はあっ、はあっ……,"<audio id=""v02_10005""><source src=""talk/11/v02_10005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_10005').play()"">はあっ、はあっ……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,e0100,1,13,,,,女猟兵,やれやれ、相討ちに 持ち込まれるかと思ったが……,"<audio id=""v75_10004""><source src=""talk/11/v75_10004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v75_10004').play()"">やれやれ、相討ちに<br/>持ち込まれるかと思ったが……</a>",,,
11,e0100,1,14,,,,女猟兵,──さっきの反撃（カウンター）は良かったけど、 ちょいと詰めが甘かったね？,"<audio id=""v75_10005""><source src=""talk/11/v75_10005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v75_10005').play()"">──さっきの反撃（カウンター）は良かったけど、<br/>ちょいと詰めが甘かったね？</a>",,,
11,e0100,1,15,,,,女猟兵,アタシの撹乱を想定しておけば ここぞの選択肢も広げられただろう。,"<audio id=""v75_10006""><source src=""talk/11/v75_10006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v75_10006').play()"">アタシの撹乱を想定しておけば<br/>ここぞの選択肢も広げられただろう。</a>",,,
11,e0100,1,16,,,,少年兵,はあっ、はあっ…… ……やっぱり……そうですよね……,"<audio id=""v02_10006""><source src=""talk/11/v02_10006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_10006').play()"">はあっ、はあっ……<br/>……やっぱり……そうですよね……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,e0100,1,17,,,,少年兵,はあはあ…… ありがとう……アイーダさん。,"<audio id=""v02_10007""><source src=""talk/11/v02_10007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_10007').play()"">はあはあ……<br/>ありがとう……アイーダさん。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,e0100,1,18,,,,女猟兵,フフ、アンタはもっと伸びる。 今は体力と手数を増やしときな。,"<audio id=""v75_10007""><source src=""talk/11/v75_10007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v75_10007').play()"">フフ、アンタはもっと伸びる。<br/>今は体力と手数を増やしときな。</a>",,,
11,e0100,1,19,,,,女猟兵,そうすりゃアタシの 昔の妹分にだって届くだろうさ。,"<audio id=""v75_10008""><source src=""talk/11/v75_10008.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v75_10008').play()"">そうすりゃアタシの<br/>昔の妹分にだって届くだろうさ。</a>",,,
11,e0100,1,20,,,,少年兵？,あ…… “妖精”って人ですよね。,"<audio id=""v02_10008""><source src=""talk/11/v02_10008.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_10008').play()"">あ……<br/>“妖精”って人ですよね。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,e0100,1,21,,,,少年兵？,……ちょっと気になる、かな。,"<audio id=""v02_10009""><source src=""talk/11/v02_10009.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_10009').play()"">……ちょっと気になる、かな。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,e0100,1,22,,,,少年兵？,わわっ…… くすぐったいよ、アイーダさん。,"<audio id=""v02_10010""><source src=""talk/11/v02_10010.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_10010').play()"">わわっ……<br/>くすぐったいよ、アイーダさん。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
