gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
11,m7600,1,1,,,,アニエス,……！,"<audio id=""v01_60139""><source src=""talk/11/v01_60139.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60139').play()"">……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>",
11,m7600,1,2,,,,ベルガルド,この空間は………,"<audio id=""v07_60085""><source src=""talk/11/v07_60085.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60085').play()"">この空間は………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>",
11,m7600,1,3,,,,カトル,なんでだろう…… こんな恐ろしげな光景なのに……,"<audio id=""v05_60086""><source src=""talk/11/v05_60086.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60086').play()"">なんでだろう……<br/>こんな恐ろしげな光景なのに……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>",
11,m7600,1,4,,,,フェリ,なんだか懐かしい感じがします……,"<audio id=""v02_60094""><source src=""talk/11/v02_60094.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60094').play()"">なんだか懐かしい感じがします……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,m7600,1,5,,,,ジュディス,そうね…… ……泣きたくなるくらいに……,"<audio id=""v06_60086""><source src=""talk/11/v06_60086.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60086').play()"">そうね……<br/>……泣きたくなるくらいに……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>",
11,m7600,1,6,,,,アーロン,……ッ………,"<audio id=""v03_60100""><source src=""talk/11/v03_60100.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60100').play()"">……ッ………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>",
11,m7600,1,7,,,,アニエス,──ヴァンさん！！,"<audio id=""v01_60140""><source src=""talk/11/v01_60140.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60140').play()"">──ヴァンさん！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>",
11,m7600,1,8,,,,？？？,　………馬鹿野郎共…………… ………どうして来やがった………,"<audio id=""v00_60194""><source src=""talk/11/v00_60194.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60194').play()"">　………馬鹿野郎共……………<br/>………どうして来やがった………</a>",,,
11,m7600,1,9,,,,？？？,　……ベルガルド師父（せんせい）…… アンタの……仕業か………？,"<audio id=""v00_60195""><source src=""talk/11/v00_60195.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60195').play()"">　……ベルガルド師父（せんせい）……<br/>アンタの……仕業か………？</a>",,,
11,m7600,1,10,,,,ベルガルド,焚き付けたのは確かだ！ 文句は後で幾らでも受け付けよう！,"<audio id=""v07_60086""><source src=""talk/11/v07_60086.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60086').play()"">焚き付けたのは確かだ！<br/>文句は後で幾らでも受け付けよう！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>",
11,m7600,1,11,,,,フェリ,それよりヴァンさんっ！ どうか勝手に行かないでくださいっ！,"<audio id=""v02_60095""><source src=""talk/11/v02_60095.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60095').play()"">それよりヴァンさんっ！<br/>どうか勝手に行かないでくださいっ！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,m7600,1,12,,,,カトル,“魔王”だっけ！？ 何か方法はあるんじゃないの！？,"<audio id=""v05_60087""><source src=""talk/11/v05_60087.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60087').play()"">“魔王”だっけ！？<br/>何か方法はあるんじゃないの！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>",
11,m7600,1,13,,,,？？？,　　　………無駄だ…………… コイツは世界そのものに仇なす………,"<audio id=""v00_60196""><source src=""talk/11/v00_60196.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60196').play()"">　　　………無駄だ……………<br/>コイツは世界そのものに仇なす………</a>",,,
11,m7600,1,14,,,,？？？,昔から……ガキの頃から感じていた……,"<audio id=""v00_60197""><source src=""talk/11/v00_60197.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60197').play()"">昔から……ガキの頃から感じていた……</a>",,,
11,m7600,1,15,,,,？？？,　　　　……誰にも話せず…… ………てめえの胸だけに仕舞って………,"<audio id=""v00_60198""><source src=""talk/11/v00_60198.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60198').play()"">　　　　……誰にも話せず……<br/>………てめえの胸だけに仕舞って………</a>",,,
11,m7600,1,16,,,,？？？,　　　　 だがあの彼方…… “外”への狭間へと封じ込めれば……,"<audio id=""v00_60199""><source src=""talk/11/v00_60199.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60199').play()"">　　　　 だがあの彼方……<br/>“外”への狭間へと封じ込めれば……</a>",,,
11,m7600,1,17,,,,？？？,　 滅ぼせなくても数百年くらいは ……大人しくさせられるだろう………,"<audio id=""v00_60200""><source src=""talk/11/v00_60200.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60200').play()"">　 滅ぼせなくても数百年くらいは<br/>……大人しくさせられるだろう………</a>",,,
11,m7600,1,18,,,,？？？,　 これが俺の“選択”だ…… ………黒でも白でもなく──……,"<audio id=""v00_60201""><source src=""talk/11/v00_60201.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60201').play()"">　 これが俺の“選択”だ……<br/>………黒でも白でもなく──……</a>",,,
11,m7600,1,19,,,,アニエス,私たちだって同じです……！,"<audio id=""v01_60141""><source src=""talk/11/v01_60141.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60141').play()"">私たちだって同じです……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>",
