gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
11,sys_event,1,1,,,,ヴァン,（一通り回ったし、そろそろ   ＣＩＤからの魔獣退治に行くか？）,（一通り回ったし、そろそろ<br/>  ＣＩＤからの魔獣退治に行くか？）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,2,2,,,,,これ以上進むと、 メインのストーリーが進行します。,<C1>これ以上進むと、<br/>メインのストーリーが進行します。,,,
11,sys_event,2,3,,,,,市街を自由に回れなくなるので 注意して下さい。,<C1>市街を自由に回れなくなるので<br/>注意して下さい。,,,
11,sys_event,3,4,,,,ヴァン,っと、導力メールか。,っと、導力メールか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,5,,,,アニエス,あ、もしかして……,あ、もしかして……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>",
11,sys_event,3,6,,,,フェリ,どなたからですか？,どなたからですか？,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,sys_event,3,7,,,,アーロン,ハッ、女からの呼び出しかよ？,ハッ、女からの呼び出しかよ？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>",
11,sys_event,3,8,,,,ヴァン,そんなんじゃねぇっ。,そんなんじゃねぇっ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,9,,,,ヴァン,……どうやらＣＩＤからの “下請け”みたいだな。,……どうやらＣＩＤからの<br/>“下請け”みたいだな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,10,,,,ヴァン,未確認の魔獣の調査と討伐…… これもギルドへの牽制だろう。,未確認の魔獣の調査と討伐……<br/>これもギルドへの牽制だろう。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,11,,,,ヴァン,場所は──《ディルク記念公園》か。,場所は──《ディルク記念公園》か。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,12,,,,アニエス,ディルク記念公園── 首都郊外ですね。,ディルク記念公園──<br/>首都郊外ですね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>",
11,sys_event,3,13,,,,フェリ,記念公園…… そんな場所があるんですか。,記念公園……<br/>そんな場所があるんですか。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,sys_event,3,14,,,,アーロン,ディルク記念公園── あのシーナ・ディルク関連かよ？,ディルク記念公園──<br/>あのシーナ・ディルク関連かよ？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>",
11,sys_event,3,15,,,,ヴァン,ああ、ちょいと遠くて面倒だが。,ああ、ちょいと遠くて面倒だが。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,16,,,,ヴァン,ああ、首都郊外にな。 ちょいと遠くて面倒だが。,ああ、首都郊外にな。<br/>ちょいと遠くて面倒だが。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,17,,,,ヴァン,（……？   このメール、随分下まで改行してやがる。）,（……？<br/>  このメール、随分下まで改行してやがる。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,18,,,,ヴァン,（………こいつは…………）,（………こいつは…………）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,sys_event,3,19,,,,　,Ｐ．Ｓ． 思い出くらい大切にしておけ。,"<audio id=""v10_30005""><source src=""talk/11/v10_30005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_30005').play()"">Ｐ．Ｓ．<br/>思い出くらい大切にしておけ。</a>",,,
11,sys_event,3,20,,,,ヴァン,……………………,……………………,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
