gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
a0601,1,1,CHR_THIS,"Still, you don't hear about monsters attacking buses very often lately.","Still, you don't hear about monsters attacking buses<br/>very often lately.",CHR_THIS,それにしても、バスが魔獣に襲われるとは 最近じゃ珍しいな。,それにしても、バスが魔獣に襲われるとは<br/>最近じゃ珍しいな。,,
a0601,1,2,CHR_THIS,It's at times like this that I wish there was a bracer in the village...,It's at times like this that I wish there was a bracer in<br/>the village...,CHR_THIS,こういう時にこそ、村に遊撃士が来てれば こっちも助かるんだが……,こういう時にこそ、村に遊撃士が来てれば<br/>こっちも助かるんだが……,,
a0601,1,3,CHR_THIS,"That famous A-ranker came by some time ago. I was on duty at the time, but I was still blown away by her swordsmanship.","That famous A-ranker came by some time ago. I was<br/>on duty at the time, but I was still blown away by<br/>her swordsmanship.",CHR_THIS,前には噂のＡ級の子も来たが、あの剣技には 職務中だってのに見惚れちゃったもんだよ。,前には噂のＡ級の子も来たが、あの剣技には<br/>職務中だってのに見惚れちゃったもんだよ。,,
a0601,1,4,CHR_THIS,"Putting the bus accident aside, I'm just glad nobody was hurt.","Putting the bus accident aside, I'm just glad nobody<br/>was hurt.",CHR_THIS,バスの事故に関してはとりあえず、 けが人がいなくて何よりだった。,バスの事故に関してはとりあえず、<br/>けが人がいなくて何よりだった。,,
a0601,1,5,CHR_THIS,"I'd better issue a report about those monsters, too.","I'd better issue a report about those monsters, too.",CHR_THIS,魔獣についても、一応報告を上げてく。,魔獣についても、一応報告を上げてく。,,
a0601,1,6,CHR_THIS,"This village has a lovely peaceful atmosphere, so I'm glad that the monsters didn't cause any casualties.","This village has a lovely peaceful atmosphere, so I'm<br/>glad that the monsters didn't cause any casualties.",CHR_THIS,この村は平和な雰囲気が良いところだからな、 魔獣による犠牲も無くて良かったよ。,この村は平和な雰囲気が良いところだからな、<br/>魔獣による犠牲も無くて良かったよ。,,
a0601,2,7,CHR_THIS,"Sorry, but I gotta focus on repairing this bus right now.","Sorry, but I gotta focus on repairing this bus<br/>right now.",CHR_THIS,悪いが今はこのバスの修理に集中したくてな。,悪いが今はこのバスの修理に集中したくてな。,,
a0601,2,8,CHR_THIS,"If you need anything, just talk to my apprentice in the workshop at the back.","If you need anything, just talk to my apprentice in the<br/>workshop at the back.",CHR_THIS,用があるなら、奥の工房にいる弟子に言ってくれ。,用があるなら、奥の工房にいる弟子に言ってくれ。,,
a0601,2,9,CHR_THIS,"She might not be fully qualified, but she can modify orbments no problem.","She might not be fully qualified, but she can modify<br/>orbments no problem.",CHR_THIS,半人前だが、オーブメントの調整くらいは 問題無くこなせる。,半人前だが、オーブメントの調整くらいは<br/>問題無くこなせる。,,
a0601,2,10,CHR_THIS,"Just give her the chance to hone her skills, won't you?","Just give her the chance to hone her skills, won't you?",CHR_THIS,まあ、経験を積ませてやってくれ。,まあ、経験を積ませてやってくれ。,,
a0601,2,11,CHR_THIS,"If you're looking for my workshop, it's at the back of the church.","If you're looking for my workshop, it's at the back of<br/>the church.",CHR_THIS,俺の工房なら教会の裏手の方だ。,俺の工房なら教会の裏手の方だ。,,
a0601,2,12,CHR_THIS,"My apprentice should be there keeping an eye on the store, so talk to her if you need anything.","My apprentice should be there keeping an eye on the<br/>store, so talk to her if you need anything.",CHR_THIS,弟子が番をしてるから、そっちを頼ると良い。,弟子が番をしてるから、そっちを頼ると良い。,,
a0601,3,13,CHR_THIS,"Who would have thought we'd get attacked by monsters while the engine had broken down? There was something weird about them, too. Can't deny I was scared.","Who would have thought we'd get attacked by<br/>monsters while the engine had broken down?<br/>There was something weird about them, too.<br/>Can't deny I was scared.",CHR_THIS,エンジントラブル中に魔獣に襲われるとは…… あの魔獣も何か変だったし、正直恐かったよ。,エンジントラブル中に魔獣に襲われるとは……<br/>あの魔獣も何か変だったし、正直恐かったよ。,,
