gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
c1020,1,1,Women's voices,I read the report on Langport.,I read the report on Langport.,女性の声,──ラングポートの報告、 読ませてもらったわ。,"<audio id=""v12_30000""><source src=""talk/11/v12_30000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30000').play()"">──ラングポートの報告、<br/>読ませてもらったわ。</a>",,
c1020,1,2,,Central Intelligence Department - Integrated Analysis Division,Central Intelligence Department<br/>- Integrated Analysis Division,,中央情報省（Ｃ Ｉ Ｄ）統合分析室,中央情報省（Ｃ Ｉ Ｄ）統合分析室,,
c1020,1,3,Black-haired woman,"For such a complicated series of events, it was impressively digestible.","For such a complicated series of events, it was<br/>impressively digestible.",黒髪の女性,複雑な状況だったようだけど 分かりやすくまとまっていたわ。,"<audio id=""v12_30001""><source src=""talk/11/v12_30001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30001').play()"">複雑な状況だったようだけど<br/>分かりやすくまとまっていたわ。</a>",,
c1020,1,4,Black-haired woman,"Your remote management of the situation was superb as always, Kincaid.","Your remote management of the situation was superb<br/>as always, Kincaid.",黒髪の女性,さすがの遠隔管理（リモートマネジメント）ね、キンケイド君。,"<audio id=""v12_30002""><source src=""talk/11/v12_30002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30002').play()"">さすがの遠隔管理（リモートマネジメント）ね、キンケイド君。</a>",,
c1020,1,5,Analyst Kincaid,"You flatter me. Originally, I'd intended to travel there myself.","You flatter me. Originally, I'd intended to travel<br/>there myself.",キンケイド分析官,いえ、本当なら私自身が 出向くつもりだったのですが。,"<audio id=""v10_30000""><source src=""talk/11/v10_30000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_30000').play()"">いえ、本当なら私自身が<br/>出向くつもりだったのですが。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
c1020,1,6,Analyst Kincaid,"Unfortunately, with a certain A-rank bracer operating within Heiyue territory, such a trip became infeasible.","Unfortunately, with a certain A-rank bracer operating<br/>within Heiyue territory, such a trip became infeasible.",キンケイド分析官,さすがに黒月のお膝元で Ａ級もいるとなると困難でした。,"<audio id=""v10_30001""><source src=""talk/11/v10_30001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_30001').play()"">さすがに黒月のお膝元で<br/>Ａ級もいるとなると困難でした。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
c1020,1,7,Black-haired woman,Which led you to play your wild card in order to gain control.,Which led you to play your wild card in order to<br/>gain control.,黒髪の女性,だからこそ“かき回し役”を当て込んで 効率的に状況をコントロールしたと。,"<audio id=""v12_30003""><source src=""talk/11/v12_30003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30003').play()"">だからこそ“かき回し役”を当て込んで<br/>効率的に状況をコントロールしたと。</a>",,
c1020,1,8,Black-haired woman,A wise decision. Doing so kept our sleeper agents stationed there out of trouble.,A wise decision. Doing so kept our sleeper agents<br/>stationed there out of trouble.,黒髪の女性,良い判断ね──おかげで現地の 秘匿職員（スリーパー）も助かったことでしょう。,"<audio id=""v12_30004""><source src=""talk/11/v12_30004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30004').play()"">良い判断ね──おかげで現地の<br/>秘匿職員（スリーパー）も助かったことでしょう。</a>",,
c1020,1,9,Black-haired woman,"I'm curious. Is he another longtime friend of yours, like that bracer?","I'm curious. Is he another longtime friend of yours,<br/>like that bracer?",黒髪の女性,Ａ級さん共々、 君の昔馴染みだったかしら？,"<audio id=""v12_30005""><source src=""talk/11/v12_30005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30005').play()"">Ａ級さん共々、<br/>君の昔馴染みだったかしら？</a>",,
c1020,1,10,Analyst Kincaid,I'd describe him more as a curse I can't be rid of.,I'd describe him more as a curse I can't be rid of.,キンケイド分析官,……ただの腐れ縁ですよ。,"<audio id=""v10_30002""><source src=""talk/11/v10_30002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_30002').play()"">……ただの腐れ縁ですよ。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
c1020,1,11,Black-haired woman,Interesting. I heard he worked behind the scenes of Operation Mille Mirage as well.,Interesting. I heard he worked behind the scenes of<br/>Operation Mille Mirage as well.,黒髪の女性,《千の陽炎》の裏でも 動いていたそうだけど……ふむ。,"<audio id=""v12_30006""><source src=""talk/11/v12_30006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30006').play()"">《千の陽炎》の裏でも<br/>動いていたそうだけど……ふむ。</a>",,
c1020,1,12,Black-haired woman,"Speaking of Arkride Solutions, can I get another update on their status?","Speaking of Arkride Solutions, can I get another<br/>update on their status?",黒髪の女性,『アークライド解決事務所』── 最新のレポートを貰えるかしら？,"<audio id=""v12_30007""><source src=""talk/11/v12_30007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30007').play()"">『アークライド解決事務所』──<br/>最新のレポートを貰えるかしら？</a>",,
c1020,1,13,Black-haired woman,I'm curious to learn about their latest addition.,I'm curious to learn about their latest addition.,黒髪の女性,ここ最近の“従業員”も含めて。,"<audio id=""v12_30008""><source src=""talk/11/v12_30008.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v12_30008').play()"">ここ最近の“従業員”も含めて。</a>",,
