gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
c1200,1,1,CHR_THIS,These settings are for checking mob placement during day/evening/night. Remove these once they are no longer needed.,These settings are for checking mob placement<br/>during day/evening/night. Remove these once they<br/>are no longer needed.,CHR_THIS,昼・夕・夜のモブ配置確認用です。 ※不要になりましたら削除をお願いいたします。,昼・夕・夜のモブ配置確認用です。<br/>※不要になりましたら削除をお願いいたします。,,
c1200,2,2,,"★DEBUG: Select one character to patrol the city together. (Note: This can be changed at any time via the Travel menu, etc.)","★DEBUG: Select one character to patrol the city together.<br/>(Note: This can be changed at any time via the Travel menu, etc.)",,★DEBUG：市内を巡回するメンバーを一人選んで下さい。 （※移動メニュー等でいつでも変更できます）,★DEBUG：市内を巡回するメンバーを一人選んで下さい。<br/>（※移動メニュー等でいつでも変更できます）,,
c1200,2,3,,"★DEBUG: Agnès, Feri, and Aaron have entered the party. Select two additional members.","★DEBUG: Agnès, Feri, and Aaron have entered the party. Select two additional members.",,★DEBUG：アニエス、フェリ、アーロンがパーティに入りました。 追加のメンバーを２名選んでください。,★DEBUG：アニエス、フェリ、アーロンがパーティに入りました。<br/>追加のメンバーを２名選んでください。,,
c1200,2,4,,◆(Temp) Select an accompanying character (first).,◆(Temp) Select an accompanying character (first).,,◆（仮）同行メンバーを選んでください。（１人目）,◆（仮）同行メンバーを選んでください。（１人目）,,
c1200,2,5,,◆(Temp) Select an accompanying character (second).,◆(Temp) Select an accompanying character (second).,,◆（仮）同行メンバーを選んでください。（２人目）,◆（仮）同行メンバーを選んでください。（２人目）,,
c1200,2,6,,★DEBUG: (Temp) Select an accompanying character (first).,★DEBUG: (Temp) Select an accompanying character (first).,,★DEBUG：（仮）同行メンバーを選んでください。（１人目）,★DEBUG：（仮）同行メンバーを選んでください。（１人目）,,
c1200,2,7,,★DEBUG: (Temp) Select an accompanying character (second).,★DEBUG: (Temp) Select an accompanying character (second).,,★DEBUG：（仮）同行メンバーを選んでください。（２人目）,★DEBUG：（仮）同行メンバーを選んでください。（２人目）,,
c1200,2,8,,★DEBUG: Select a character to accompany you in addition to Van/Agnès/Risette.,★DEBUG: Select a character to accompany you in addition to Van/Agnès/Risette.,,★DEBUG：ヴァン・アニエス・リゼットに加えて 連れて行くメンバーを選んでください。,★DEBUG：ヴァン・アニエス・リゼットに加えて<br/>連れて行くメンバーを選んでください。,,
c1200,2,9,,★DEBUG: Select 1 accompanying character. (This can be changed later.),★DEBUG: Select 1 accompanying character. (This can be changed later.),,★DEBUG：同行メンバーを一人選んでください。 （後で変更も可能です。）,★DEBUG：同行メンバーを一人選んでください。<br/>（後で変更も可能です。）,,
c1200,3,10,Major,We had this huge group of devils right on Second Street over there.,We had this huge group of devils right on Second<br/>Street over there.,メイジャ,その先……黒芒街の“２番街”があるのだけど、 そっちに悪魔がなだれ込んできたらしくてね。,その先……黒芒街の“２番街”があるのだけど、<br/>そっちに悪魔がなだれ込んできたらしくてね。,,
c1200,3,11,Major,"Thankfully, we have it under control now. We banded together with the locals to drive them out.","Thankfully, we have it under control now.<br/>We banded together with the locals to drive<br/>them out.",メイジャ,丁度さっきみんなで協力して 蹴散らした所よ。,丁度さっきみんなで協力して<br/>蹴散らした所よ。,,
c1200,3,12,Major,It made me appreciate just how tough jaegers are. Those guys handled stuff that I sure as hell wouldn't trust a civilian with.,It made me appreciate just how tough jaegers are.<br/>Those guys handled stuff that I sure as hell wouldn't<br/>trust a civilian with.,メイジャ,……それにしても、猟兵はやっぱり頑丈ね。 普段売らない品も使いこなせるなんて。,……それにしても、猟兵はやっぱり頑丈ね。<br/>普段売らない品も使いこなせるなんて。,,
c1200,3,13,Major,"I'm gonna have to give 'em some downers later, though—they got a little too amped up for my liking once their stuff kicked in.","I'm gonna have to give 'em some downers later,<br/>though—they got a little too amped up for my liking<br/>once their stuff kicked in.",メイジャ,ちょっと興奮しすぎだから あとで別のハーブで落ち着かせるけど。,ちょっと興奮しすぎだから<br/>あとで別のハーブで落ち着かせるけど。,,
c1200,3,14,Major,Those jaegers are some tough customers. You can always count on them when the going gets tough.,Those jaegers are some tough customers. You can<br/>always count on them when the going gets tough.,メイジャ,猟兵はやっぱり頑丈ね。 こういう時は頼りになるわ。,猟兵はやっぱり頑丈ね。<br/>こういう時は頼りになるわ。,,
