gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
d0000,1,1,Semi-Gray,Here you go. Brought the goods.,Here you go. Brought the goods.,半グレ,ほらよ、コイツが指定のブツだ。,"<audio id=""v79_00000""><source src=""talk/11/v79_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v79_00000').play()"">ほらよ、コイツが指定のブツだ。</a>",,
d0000,1,2,Semi-Gray,"Wasn't easy to find this, you know. Went around every damn antique shop in the capital before we came across it.","Wasn't easy to find this, you know. Went around<br/>every damn antique shop in the capital before we<br/>came across it.",半グレ,苦労したんだぜぇ～？ 首都中の古物屋を当たってよぉ。,"<audio id=""v80_00000""><source src=""talk/11/v80_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v80_00000').play()"">苦労したんだぜぇ～？<br/>首都中の古物屋を当たってよぉ。</a>",,
d0000,1,3,Semi-Gray,"Yeah, and now my legs hurt like a bitch for it. Gonna hurt somethin' fierce tomorrow.","Yeah, and now my legs hurt like a bitch for it.<br/>Gonna hurt somethin' fierce tomorrow.",半グレ,おかげで足が棒になっちまった。 あー、明日は筋肉痛だぜ。,"<audio id=""v81_00000""><source src=""talk/11/v81_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v81_00000').play()"">おかげで足が棒になっちまった。<br/>あー、明日は筋肉痛だぜ。</a>",,
d0000,1,4,mafia,"Well earned, I'm sure.","Well earned, I'm sure.",マフィア,ご苦労だったな。,"<audio id=""v83_00000""><source src=""talk/11/v83_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v83_00000').play()"">ご苦労だったな。</a>",,
d0000,1,5,mafia,"Open the case so we can confirm its contents, then.","Open the case so we can confirm its contents, then.",マフィア,一応、中を見せてもらおうか。,"<audio id=""v84_00000""><source src=""talk/11/v84_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v84_00000').play()"">一応、中を見せてもらおうか。</a>",,
d0000,1,6,mafia,...This does appear to be what the bosses asked for.,...This does appear to be what the bosses asked for.,マフィア,………ボスたちの指定通りか。,"<audio id=""v83_00001""><source src=""talk/11/v83_00001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v83_00001').play()"">………ボスたちの指定通りか。</a>",,
d0000,1,7,mafia,"It looks authentic to me, too.","It looks authentic to me, too.",マフィア,その造り、贋作（フェイク）でも無さそうだ。,"<audio id=""v84_00001""><source src=""talk/11/v84_00001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v84_00001').play()"">その造り、贋作（フェイク）でも無さそうだ。</a>",,
d0000,1,8,Semi-Gray,"Ohh, this ain't no knockoff. It's the real thing!","Ohh, this ain't no knockoff. It's the real thing!",半グレ,おお、正真正銘の指定のブツだ！,"<audio id=""v79_00001""><source src=""talk/11/v79_00001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v79_00001').play()"">おお、正真正銘の指定のブツだ！</a>",,
d0000,1,9,Semi-Gray,"So, we good for a million?","So, we good for a million?",半グレ,合わせて１００万ミラ、 耳を揃えて払ってもらおうか！？,"<audio id=""v79_00002""><source src=""talk/11/v79_00002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v79_00002').play()"">合わせて１００万ミラ、<br/>耳を揃えて払ってもらおうか！？</a>",,
d0000,1,10,mafia,And where did you pull that figure from?,And where did you pull that figure from?,マフィア,ふむ、それはおかしな話だな。,"<audio id=""v83_00002""><source src=""talk/11/v83_00002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v83_00002').play()"">ふむ、それはおかしな話だな。</a>",,
d0000,1,11,mafia,"I believe we agreed on 100,000 mira down and 300,000 more upon completion of the job.","I believe we agreed on 100,000 mira down and<br/>300,000 more upon completion of the job.",マフィア,前金１０万、成功報酬３０万の筈だが？,"<audio id=""v84_00002""><source src=""talk/11/v84_00002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v84_00002').play()"">前金１０万、成功報酬３０万の筈だが？</a>",,
d0000,1,12,Semi-Gray,"Yeah, well, that was then, and this is now. Inflation ain't pretty, you feel me?","Yeah, well, that was then, and this is now.<br/>Inflation ain't pretty, you feel me?",半グレ,こーいうのは時価でしょ、時価。,"<audio id=""v80_00001""><source src=""talk/11/v80_00001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v80_00001').play()"">こーいうのは時価でしょ、時価。</a>",,
d0000,1,13,Semi-Gray,Doesn't sound very fair that we busted our asses for somethin' so important only for a little loose change.,Doesn't sound very fair that we busted our asses for<br/>somethin' so important only for a little loose change.,半グレ,よっぽど大切なモノみたいだしぃ～、 ボクたちの努力にも色付けて頂戴よぉ？,"<audio id=""v80_00002""><source src=""talk/11/v80_00002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v80_00002').play()"">よっぽど大切なモノみたいだしぃ～、<br/>ボクたちの努力にも色付けて頂戴よぉ？</a>",,
d0000,1,14,Semi-Gray,And there's a lotta rumors going 'round 'bout you guys.,And there's a lotta rumors going 'round 'bout<br/>you guys.,半グレ,アンタらの噂は色々聞いてるぜ。,"<audio id=""v81_00001""><source src=""talk/11/v81_00001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v81_00001').play()"">アンタらの噂は色々聞いてるぜ。</a>",,
d0000,1,15,Semi-Gray,"How 'bout it? You treat us right, and this could be the start of somethin' real nice here.","How 'bout it? You treat us right, and this could be the<br/>start of somethin' real nice here.",半グレ,今後</B>も協力できるかもしれねぇし、 お近づきの印ってことでどうだよ？,"<audio id=""v81_00002""><source src=""talk/11/v81_00002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v81_00002').play()"">今後</B>も協力できるかもしれねぇし、<br/>お近づきの印ってことでどうだよ？</a>",,
d0000,1,16,mafia,Heh. Interesting.,Heh. Interesting.,マフィア,フフ、なるほどな。,"<audio id=""v83_00003""><source src=""talk/11/v83_00003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v83_00003').play()"">フフ、なるほどな。</a>",,
d0000,1,17,mafia,I suppose you do deserve a little extra something.,I suppose you do deserve a little extra something.,マフィア,だったら── もっと良いものをくれてやろうか？,"<audio id=""v84_00003""><source src=""talk/11/v84_00003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v84_00003').play()"">だったら──<br/>もっと良いものをくれてやろうか？</a>",,
d0000,1,18,Semi-Gray,The hell?!,The hell?!,半グレ,てめぇら……！,"<audio id=""v79_00003""><source src=""talk/11/v79_00003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v79_00003').play()"">てめぇら……！</a>",,
d0000,1,19,Semi-Gray,You gotta be kiddin' me!,You gotta be kiddin' me!,半グレ,や、やるってのかぁ～っ！？,"<audio id=""v80_00003""><source src=""talk/11/v80_00003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v80_00003').play()"">や、やるってのかぁ～っ！？</a>",,
