gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
e0610,1,1,Boys' voices,Wait!,Wait!,男子の声,待ってくれ……！,"<audio id=""v44_50000""><source src=""talk/11/v44_50000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50000').play()"">待ってくれ……！</a>",,
e0610,1,2,Agnes,"Albert, Odette!","Albert, Odette!",アニエス,アルベール君、オデットも……！？,アルベール君、オデットも……！？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,3,Agnes,What are you two doing here?,What are you two doing here?,アニエス,ふ、二人ともどうして……,ふ、二人ともどうして……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,4,Albert,Renne texted us. She said the two of you will be absent for the next three days.,Renne texted us. She said the two of you will be<br/>absent for the next three days.,アルベール,……レン先輩からのメールで 君と先輩が３日ほど欠席すると聞いた。,"<audio id=""v44_50001""><source src=""talk/11/v44_50001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50001').play()"">……レン先輩からのメールで<br/>君と先輩が３日ほど欠席すると聞いた。</a>",,
e0610,1,5,Albert,"As soon as I got her message, I woke up Odette, and we called a cab and got here as fast as possible.","As soon as I got her message, I woke up Odette, and<br/>we called a cab and got here as fast as possible.",アルベール,それでオデットを叩き起こして タクシーでここまで駆け付けたんだ。,"<audio id=""v44_50002""><source src=""talk/11/v44_50002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50002').play()"">それでオデットを叩き起こして<br/>タクシーでここまで駆け付けたんだ。</a>",,
e0610,1,6,Odette,"Most trains aren't running at this hour, so that was really our only option.","Most trains aren't running at this hour, so that was<br/>really our only option.",オデット,地下鉄も少なかったからさ～。 ……でもビンゴだったみたいだね。,"<audio id=""v42_50000""><source src=""talk/11/v42_50000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50000').play()"">地下鉄も少なかったからさ～。<br/>……でもビンゴだったみたいだね。</a>",,
e0610,1,7,Albert,"Now, then. Where exactly are you going this early, hmm? Off on another thrilling adventure with that scoundrel and his shady entourage?","Now, then. Where exactly are you going this<br/>early, hmm? Off on another thrilling adventure with<br/>that scoundrel and his shady entourage?",アルベール,このタイミングでの出張ってことは、 またバーゼルの時のような──,"<audio id=""v44_50003""><source src=""talk/11/v44_50003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50003').play()"">このタイミングでの出張ってことは、<br/>またバーゼルの時のような──</a>",,
e0610,1,8,Albert,"If you keep throwing yourself into danger, one day you'll wind up getting hurt—or worse.","If you keep throwing yourself into danger, one day<br/>you'll wind up getting hurt—or worse.",アルベール,いや、それ以上に危険なことに 首を突っ込もうとしてるみたいだな？,"<audio id=""v44_50004""><source src=""talk/11/v44_50004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50004').play()"">いや、それ以上に危険なことに<br/>首を突っ込もうとしてるみたいだな？</a>",,
e0610,1,9,Agnes,I...,I...,アニエス,……それは…………,……それは…………,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,10,Agnes,I'm sorry for worrying you both. I should have told you sooner.,I'm sorry for worrying you both. I should have told<br/>you sooner.,アニエス,………ごめんなさい、黙っていて。,………ごめんなさい、黙っていて。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,11,Agnes,"I can't promise it won't be dangerous, but I have to do th—","I can't promise it won't be dangerous, but I have to do<br/>th—",アニエス,危なくないとは言えません、 でもどうか行かせて──,危なくないとは言えません、<br/>でもどうか行かせて──,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,12,Odette,No! You don't HAVE to do anything!,No! You don't HAVE to do anything!,オデット,ダメだよっ──！ 今回はいくらなんでも！！,"<audio id=""v42_50001""><source src=""talk/11/v42_50001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50001').play()"">ダメだよっ──！<br/>今回はいくらなんでも！！</a>",,
e0610,1,13,Odette,"I don't want to lose you! I mean, look at what happened to Creil!","I don't want to lose you! I mean, look at what<br/>happened to Creil!",オデット,クレイユであんな事が あったばかりなんだよ……！？,"<audio id=""v42_50002""><source src=""talk/11/v42_50002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50002').play()"">クレイユであんな事が<br/>あったばかりなんだよ……！？</a>",,
e0610,1,14,Odette,I know you put a lot of pressure on yourself because of your family...,I know you put a lot of pressure on yourself because<br/>of your family...,オデット,あんたが“家族”のことで 色々抱えているのは知ってるけど──,"<audio id=""v42_50003""><source src=""talk/11/v42_50003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50003').play()"">あんたが“家族”のことで<br/>色々抱えているのは知ってるけど──</a>",,
e0610,1,15,Odette,"...but if that's your only reason—if you're just risking your life for your dad's sake, then— then I won't let you go!","...but if that's your only reason—if you're just<br/>risking your life for your dad's sake, then—<br/>then I won't let you go!",オデット,それ</B>が理由なら 断固反対なんだからね！？,"<audio id=""v42_50004""><source src=""talk/11/v42_50004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50004').play()"">それ</B>が理由なら<br/>断固反対なんだからね！？</a>",,
e0610,1,16,Agnes,Odette...,Odette...,アニエス,……オデット………,……オデット………,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,17,Ferry,Agnès...,Agnès...,フェリ,アニエスさん……,アニエスさん……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
e0610,1,18,Van,...,...,ヴァン,………………………………,………………………………,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
e0610,1,19,Agnes,I'll admit that I'm doing this in part because of Dad...,I'll admit that I'm doing this in part because of Dad...,アニエス,……理由は色々あります。 お父さんのことは勿論、それ以外も。,……理由は色々あります。<br/>お父さんのことは勿論、それ以外も。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,20,Agnes,...but that's not my only reason.,...but that's not my only reason.,アニエス,でも──それだけじゃないんです。,でも──それだけじゃないんです。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,21,Agnes,"Ever since I started this job, I've been exposed to people of all walks of life, I've accumulated a wealth of important life experiences...","Ever since I started this job, I've been exposed to<br/>people of all walks of life, I've accumulated a wealth<br/>of important life experiences...",アニエス,この“バイト”を始めて色々な人と 知り合って、色々なことを知って……,この“バイト”を始めて色々な人と<br/>知り合って、色々なことを知って……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,22,Agnes,...and I've felt closer to my mother and grandmother than ever before through the things they left behind.,...and I've felt closer to my mother and grandmother<br/>than ever before through the things they left behind.,アニエス,受け継いだものを通じてお母さんや お祖母ちゃんとの“絆”も感じて。,受け継いだものを通じてお母さんや<br/>お祖母ちゃんとの“絆”も感じて。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,23,Agnes,It's all become just as vital to my growth as our day-to-day lessons at Aramis.,It's all become just as vital to my growth as our<br/>day-to-day lessons at Aramis.,アニエス,２人やレン先輩もいるアラミスに入って、 学び続けていることも含めて──,２人やレン先輩もいるアラミスに入って、<br/>学び続けていることも含めて──,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,24,Agnes,I'd even go as far as to say it's become an inseparable part of who I am.,I'd even go as far as to say it's become an inseparable<br/>part of who I am.,アニエス,全てが“今の自分”に 繋がっていると実感できたんです。,全てが“今の自分”に<br/>繋がっていると実感できたんです。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,25,Agnes,"So please, don't try and stop me.","So please, don't try and stop me.",アニエス,だから、どうか行かせてください。,だから、どうか行かせてください。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,26,Agnes,I'm not just going because of my family—or because of what they passed down to me.,I'm not just going because of my family—or because<br/>of what they passed down to me.,アニエス,家族の事情でも、 受け継いだ物のためでもなく──,家族の事情でも、<br/>受け継いだ物のためでもなく──,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,27,Agnes,I'm going because this is something that I have to do for myself.,I'm going because this is something that I have to do<br/>for myself.,アニエス,今の私にしかできないことをやるために。,今の私にしかできないことをやるために。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,28,Odette,...,...,オデット,っ……,"<audio id=""v42_50005""><source src=""talk/11/v42_50005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50005').play()"">っ……</a>",,
e0610,1,29,Albert,Agnès...,Agnès...,アルベール,アニエス……,"<audio id=""v44_50005""><source src=""talk/11/v44_50005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50005').play()"">アニエス……</a>",,
e0610,1,30,Agnes,Ah!,Ah!,アニエス,あ──,あ──,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,31,Ferry,Whose car is that?,Whose car is that?,フェリ,この車は……,この車は……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
e0610,1,32,Kincaid,"You're certainly up bright and early. About to depart, I take it?","You're certainly up bright and early. About to depart,<br/>I take it?",キンケイド,早いな──解決屋諸君。 ちょうど出発するところだったか。,"<audio id=""v10_50000""><source src=""talk/11/v10_50000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_50000').play()"">早いな──解決屋諸君。<br/>ちょうど出発するところだったか。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
e0610,1,33,Van,René.,René.,ヴァン,ルネ……,ルネ……,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
e0610,1,34,Aaron,The hell's he doing here?,The hell's he doing here?,アーロン,なんでスカシ眼鏡が──,なんでスカシ眼鏡が──,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
e0610,1,35,Quatre,Wha...?,Wha...?,カトル,え──,え──,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
e0610,1,36,Lisette,...,...,リゼット,……ぁ………,……ぁ………,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
e0610,1,37,Judith,What? Him?!,What? Him?!,ジュディス,なああっ！？,<S5>なああっ！？,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
e0610,1,38,Ferry,(That's the guy who's always on the city screens.),(That's the guy who's always on the city screens.),フェリ,（街頭ビジョンでよく見る……）,（街頭ビジョンでよく見る……）,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
e0610,1,39,Agnes,Dad...,Dad...,アニエス,……お父さん…………,"<audio id=""v01_50011""><source src=""talk/11/v01_50011.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50011').play()"">……お父さん…………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,40,jacket men,One must always be responsible when making critical decisions—and be acutely aware of their potential repercussions.,One must always be responsible when making critical<br/>decisions—and be acutely aware of their<br/>potential repercussions.,ジャケットの男性,──分かっているだろうが “決断”には“責任”がつきまとう。,"<audio id=""v15_50000""><source src=""talk/11/v15_50000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50000').play()"">──分かっているだろうが<br/>“決断”には“責任”がつきまとう。</a>",,
e0610,1,41,jacket men,"I pray you took that into careful consideration when making yours, Agnès.","I pray you took that into careful consideration when<br/>making yours, Agnès.",ジャケットの男性,それを踏まえての行動だろうな、アニエス？,"<audio id=""v15_50001""><source src=""talk/11/v15_50001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50001').play()"">それを踏まえての行動だろうな、アニエス？</a>",,
e0610,1,42,Agnes,"Of course I did. I am my father's daughter, after all.","Of course I did. I am my father's daughter, after all.",アニエス,──はい。 これでもお父さんの娘ですから。,"<audio id=""v01_50012""><source src=""talk/11/v01_50012.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50012').play()"">──はい。<br/>これでもお父さんの娘ですから。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,43,Agnes,I fully intend to seize every opportunity to broaden my horizons and learn from my collective experiences.,I fully intend to seize every opportunity to broaden<br/>my horizons and learn from my collective experiences.,アニエス,あらゆる機会を無駄にせずに 見聞を広め、自らの糧としてきます。,"<audio id=""v01_50013""><source src=""talk/11/v01_50013.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50013').play()"">あらゆる機会を無駄にせずに<br/>見聞を広め、自らの糧としてきます。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
