gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m6105,1,1,Frightened voice,S-Stay away! STAY AWAY!,S-Stay away! STAY AWAY!,怯える声,く、来るな！　来るなあああ──！！,<S5>く、来るな！　来るなあああ──！！,,
m6105,1,2,Lisette,"Oh, my.","Oh, my.",リゼット,これは……！,これは……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m6105,1,3,Bellegarde,This is not good! That man is being attacked!,This is not good! That man is being attacked!,ベルガルド,いかん、魔物に襲われておる！,いかん、魔物に襲われておる！,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m6105,1,4,Ferry,Let's help him!,Let's help him!,フェリ,早く行きましょう！,早く行きましょう！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m6105,1,5,tourist,Am I...going to die here...?,Am I...going to die here...?,観光客,まさか……終わりなのか……？,まさか……終わりなのか……？,,
m6105,1,6,Van,Not if I can help it!,Not if I can help it!,ヴァン,立てるか！,立てるか！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,1,7,tourist,Who are you people?!,Who are you people?!,観光客,あんたたちは！？,あんたたちは！？,,
m6105,1,8,Judith,We'll talk later. Stay back!,We'll talk later. Stay back!,ジュディス,話は後、下がっていなさい！,話は後、下がっていなさい！,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m6105,1,9,tourist,O-Okay!,O-Okay!,観光客,わ、分かった！,わ、分かった！,,
m6105,1,10,Lisette,Commencing counteroffensive!,Commencing counteroffensive!,リゼット,迎撃を開始します！,迎撃を開始します！,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m6105,2,11,Agnes,Are you hurt at all?,Are you hurt at all?,アニエス,お怪我はありませんか？,お怪我はありませんか？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
