gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m7100,1,1,CHR_THIS,"Temporary placement to check event progression. Once night activities and quests have been officially added, please delete.","Temporary placement to check event progression.<br/>Once night activities and quests have been officially<br/>added, please delete.",CHR_THIS,イベント進行確認用に仮配置しています。 ※夜行動やクエストが正式入力しましたら削除をお願いいたします。,イベント進行確認用に仮配置しています。<br/>※夜行動やクエストが正式入力しましたら削除をお願いいたします。,,
m7100,2,2,Ferry,I can hear water running in the distance.,I can hear water running in the distance.,フェリ,上水道…… たしかに水音が聞こえます。,上水道……<br/>たしかに水音が聞こえます。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,2,3,Aaron,"There's a bunch of footprints here, too.","There's a bunch of footprints here, too.",アーロン,足跡もバッチリあるぜ。,足跡もバッチリあるぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,2,4,Bellegarde,"The number of prints outside indicated as much, but we seem to be dealing with a rather large group.","The number of prints outside indicated as much, but<br/>we seem to be dealing with a rather large group.",ベルガルド,ふむ…… やはり結構な数が入っているか。,ふむ……<br/>やはり結構な数が入っているか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,2,5,Quatre,It really does look like a lot of people came through here...,It really does look like a lot of people came<br/>through here...,カトル,これ…… 結構な数が入ってそうだね。,これ……<br/>結構な数が入ってそうだね。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,2,6,Lisette,"The prints outside indicated as much, but we seem to be dealing with a rather large group.","The prints outside indicated as much, but we seem to<br/>be dealing with a rather large group.",リゼット,……やはり結構な 人数が入っているようですね。,……やはり結構な<br/>人数が入っているようですね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,2,7,Judith,"Everything points to them being remnants of Almata and the gangs that served them, too.","Everything points to them being remnants of Almata<br/>and the gangs that served them, too.",ジュディス,子飼いだった半グレどもに 構成員の残党って話だけど……,子飼いだった半グレどもに<br/>構成員の残党って話だけど……,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,2,8,Lisette,"Everything points to them being remnants of Almata and the gangs that served them, too.","Everything points to them being remnants of Almata<br/>and the gangs that served them, too.",リゼット,子飼いの半グレたちに 構成員の残党でしたか……,子飼いの半グレたちに<br/>構成員の残党でしたか……,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,2,9,Quatre,"Everything points to them being remnants of Almata and the gangs that served them, too.","Everything points to them being remnants of Almata<br/>and the gangs that served them, too.",カトル,子飼いだった半グレどもに 構成員の残党って話だけど……,子飼いだった半グレどもに<br/>構成員の残党って話だけど……,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,2,10,Agnes,Oh!,Oh!,アニエス,あ……,あ……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,2,11,Van,"Oh, no...","Oh, no...",ヴァン,まさか──,まさか──,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,2,12,Ferry,It stopped...,It stopped...,フェリ,消えちゃいました……,消えちゃいました……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,2,13,Quatre,It didn't shine half as much as it does when a Genesis is involved.,It didn't shine half as much as it does when a Genesis<br/>is involved.,カトル,ゲネシス絡みの時ほど はっきりとじゃないけど……,ゲネシス絡みの時ほど<br/>はっきりとじゃないけど……,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,2,14,Lisette,Could it be an omen? Or it is reacting to a vestige of something?,Could it be an omen? Or it is reacting to a vestige<br/>of something?,リゼット,何らかの兆候、あるいは残滓に 反応したのでしょうか？,何らかの兆候、あるいは残滓に<br/>反応したのでしょうか？,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,2,15,Bellegarde,Hmm... That light served as a valuable guide to us in Oración as well.,Hmm... That light served as a valuable guide to us in<br/>Oración as well.,ベルガルド,ふむ……オラシオンでも 何度か世話になったが。,ふむ……オラシオンでも<br/>何度か世話になったが。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,2,16,Judith,"(It sounded like that temporary flicker was what I triggered when we first met, too.)","(It sounded like that temporary flicker was what I<br/>triggered when we first met, too.)",ジュディス,（あたしのアレに反応した時と   同じくらい……？）,（あたしのアレに反応した時と<br/>  同じくらい……？）,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
