gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m7600,1,1,Agnes,...!,...!,アニエス,……！,"<audio id=""v01_60139""><source src=""talk/11/v01_60139.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60139').play()"">……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,2,Bellegarde,What a peculiar space...,What a peculiar space...,ベルガルド,この空間は………,"<audio id=""v07_60085""><source src=""talk/11/v07_60085.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60085').play()"">この空間は………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7600,1,3,Quatre,"It's a terrifying sight to behold, and yet I feel...warm just being here.","It's a terrifying sight to behold, and yet I feel...warm<br/>just being here.",カトル,なんでだろう…… こんな恐ろしげな光景なのに……,"<audio id=""v05_60086""><source src=""talk/11/v05_60086.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60086').play()"">なんでだろう……<br/>こんな恐ろしげな光景なのに……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7600,1,4,Ferry,"I've never been to this place before, but I'm feeling oddly nostalgic.","I've never been to this place before, but I'm feeling<br/>oddly nostalgic.",フェリ,なんだか懐かしい感じがします……,"<audio id=""v02_60094""><source src=""talk/11/v02_60094.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60094').play()"">なんだか懐かしい感じがします……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,1,5,Judith,Yeah. So nostalgic that it hurts.,Yeah. So nostalgic that it hurts.,ジュディス,そうね…… ……泣きたくなるくらいに……,"<audio id=""v06_60086""><source src=""talk/11/v06_60086.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60086').play()"">そうね……<br/>……泣きたくなるくらいに……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7600,1,6,Aaron,...,...,アーロン,……ッ………,"<audio id=""v03_60100""><source src=""talk/11/v03_60100.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60100').play()"">……ッ………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,1,7,Agnes,Van!,Van!,アニエス,──ヴァンさん！！,"<audio id=""v01_60140""><source src=""talk/11/v01_60140.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60140').play()"">──ヴァンさん！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,8,???,\\u3000\\u3000\\u3000\\u3000\\u3000You've gotta be kidding me... What are you idiots doing? You shouldn't be here.,\\u3000\\u3000\\u3000\\u3000\\u3000You've gotta be kidding me...<br/>What are you idiots doing? You shouldn't be here.,？？？,　………馬鹿野郎共…………… ………どうして来やがった………,"<audio id=""v00_60194""><source src=""talk/11/v00_60194.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60194').play()"">　………馬鹿野郎共……………<br/>………どうして来やがった………</a>",,
m7600,1,9,???,"\\u3000Thought I told you to take care of them, Master. Why'd you let them come to this place?","\\u3000Thought I told you to take care of them, Master.<br/>Why'd you let them come to this place?",？？？,　……ベルガルド師父（せんせい）…… アンタの……仕業か………？,"<audio id=""v00_60195""><source src=""talk/11/v00_60195.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60195').play()"">　……ベルガルド師父（せんせい）……<br/>アンタの……仕業か………？</a>",,
m7600,1,10,Bellegarde,You will have plenty of time to berate me for it later!,You will have plenty of time to berate me for it later!,ベルガルド,焚き付けたのは確かだ！ 文句は後で幾らでも受け付けよう！,"<audio id=""v07_60086""><source src=""talk/11/v07_60086.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60086').play()"">焚き付けたのは確かだ！<br/>文句は後で幾らでも受け付けよう！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7600,1,11,Ferry,"You can't leave us, Van!","You can't leave us, Van!",フェリ,それよりヴァンさんっ！ どうか勝手に行かないでくださいっ！,"<audio id=""v02_60095""><source src=""talk/11/v02_60095.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60095').play()"">それよりヴァンさんっ！<br/>どうか勝手に行かないでくださいっ！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,1,12,Quatre,This can't be the only way to deal with that demon! I refuse to accept that!,This can't be the only way to deal with that demon!<br/>I refuse to accept that!,カトル,“魔王”だっけ！？ 何か方法はあるんじゃないの！？,"<audio id=""v05_60087""><source src=""talk/11/v05_60087.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60087').play()"">“魔王”だっけ！？<br/>何か方法はあるんじゃないの！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7600,1,13,???,"Well, accept it. We're talking about a being that sees the entire world as its enemy.","Well, accept it. We're talking about a being<br/>that sees the entire world as its enemy.",？？？,　　　………無駄だ…………… コイツは世界そのものに仇なす………,"<audio id=""v00_60196""><source src=""talk/11/v00_60196.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60196').play()"">　　　………無駄だ……………<br/>コイツは世界そのものに仇なす………</a>",,
m7600,1,14,???,I've felt its presence for so long... It's been with me since I was a kid.,I've felt its presence for so long...<br/>It's been with me since I was a kid.,？？？,昔から……ガキの頃から感じていた……,"<audio id=""v00_60197""><source src=""talk/11/v00_60197.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60197').play()"">昔から……ガキの頃から感じていた……</a>",,
m7600,1,15,???,\\u3000\\u3000But I couldn't tell anyone about it. It was a secret I planned to take to the grave.,\\u3000\\u3000But I couldn't tell anyone about it.<br/>It was a secret I planned to take to the grave.,？？？,　　　　……誰にも話せず…… ………てめえの胸だけに仕舞って………,"<audio id=""v00_60198""><source src=""talk/11/v00_60198.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60198').play()"">　　　　……誰にも話せず……<br/>………てめえの胸だけに仕舞って………</a>",,
m7600,1,16,???,"I can't destroy this thing, but I can seal it away in the boundary between here and the beyond.","I can't destroy this thing, but I can seal it away<br/>in the boundary between here and the beyond.",？？？,　　　　 だがあの彼方…… “外”への狭間へと封じ込めれば……,"<audio id=""v00_60199""><source src=""talk/11/v00_60199.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60199').play()"">　　　　 だがあの彼方……<br/>“外”への狭間へと封じ込めれば……</a>",,
m7600,1,17,???,It'll at least keep it at bay for a few centuries. That's the best I can do to protect your futures.,It'll at least keep it at bay for a few centuries.<br/>That's the best I can do to protect your futures.,？？？,　 滅ぼせなくても数百年くらいは ……大人しくさせられるだろう………,"<audio id=""v00_60200""><source src=""talk/11/v00_60200.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60200').play()"">　 滅ぼせなくても数百年くらいは<br/>……大人しくさせられるだろう………</a>",,
m7600,1,18,???,\\u3000 So leave me be. This is the choice that I've made.  It's not a black-or-white decision. It's—,\\u3000 So leave me be. This is the choice that I've made. <br/>It's not a black-or-white decision. It's—,？？？,　 これが俺の“選択”だ…… ………黒でも白でもなく──……,"<audio id=""v00_60201""><source src=""talk/11/v00_60201.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60201').play()"">　 これが俺の“選択”だ……<br/>………黒でも白でもなく──……</a>",,
m7600,1,19,Agnes,"We're not going to leave you, Van!","We're not going to leave you, Van!",アニエス,私たちだって同じです……！,"<audio id=""v01_60141""><source src=""talk/11/v01_60141.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60141').play()"">私たちだって同じです……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,20,Agnes,"You may have chosen to come here of your own volition, but we've made a choice of our own. We're taking you back!","You may have chosen to come here of your own<br/>volition, but we've made a choice of our own.<br/>We're taking you back!",アニエス,それが貴方の“選択”だと言うなら 私たちも“選択”してここへ来ました！,"<audio id=""v01_60142""><source src=""talk/11/v01_60142.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60142').play()"">それが貴方の“選択”だと言うなら<br/>私たちも“選択”してここへ来ました！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,21,Van,You know full well I'm not like the cops or bracers. I do things my own way.,You know full well I'm not like the cops or bracers.<br/>I do things my own way.,ヴァン,俺は警察でも遊撃士でもない。 あくまで自分の流儀を貫くだけだ。,"<audio id=""v00_10091_rk""><source src=""talk/11/v00_10091_rk.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_10091_rk').play()"">俺は警察でも遊撃士でもない。<br/>あくまで自分の流儀を貫くだけだ。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,1,22,Van,"And that way isn't black, but it definitely ain't white, either. Mine's like the color of a dark blue sky just before dawn.","And that way isn't black, but it definitely ain't<br/>white, either. Mine's like the color of a dark blue sky<br/>just before dawn.",ヴァン,黒でも白でも、灰色ですらない、 黎（あおぐろ）い狭間の領域で。,"<audio id=""v00_10092_rk""><source src=""talk/11/v00_10092_rk.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_10092_rk').play()"">黒でも白でも、灰色ですらない、<br/>黎（あおぐろ）い狭間の領域で。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,1,23,Agnes,I'm not going to become a wholly different person if I stay by your side.,I'm not going to become a wholly different person if I<br/>stay by your side.,アニエス,でも、そんな貴方を支えて 寄り添うことは出来ると思うんです。,"<audio id=""v01_10073_rk""><source src=""talk/11/v01_10073_rk.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_10073_rk').play()"">でも、そんな貴方を支えて<br/>寄り添うことは出来ると思うんです。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
