gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
t1400,1,1,CHR_THIS,These settings are for checking mob placement during day/evening/night. Remove these once they are no longer needed.,These settings are for checking mob placement<br/>during day/evening/night. Remove these once they<br/>are no longer needed.,CHR_THIS,昼・夕・夜のモブ配置確認用です。 ※不要になりましたら削除をお願いいたします。,昼・夕・夜のモブ配置確認用です。<br/>※不要になりましたら削除をお願いいたします。,,
t1400,2,2,Lai Hong,There's been more murders? And they occurred here at the harbor? Goodness me.,There's been more murders? And they occurred here<br/>at the harbor? Goodness me.,ライホン,よもや港で殺人事件が起きるとはな…… 聞けば昨晩も霧の中で殺人があったとか。,よもや港で殺人事件が起きるとはな……<br/>聞けば昨晩も霧の中で殺人があったとか。,,
t1400,2,3,Lai Hong,"Well, I suppose it's time for us to go into crisis management mode. These terrorist attacks don't appear to be slowing down.","Well, I suppose it's time for us to go into crisis<br/>management mode. These terrorist attacks don't<br/>appear to be slowing down.",ライホン,最近ではテロも減ったし油断していたが、 我々貿易会社も危機管理はした方が良いかね。,最近ではテロも減ったし油断していたが、<br/>我々貿易会社も危機管理はした方が良いかね。,,
t1400,2,4,Lai Hong,A brawl in the harbor and murder in the Eastern Quarter... What is this world coming to?,A brawl in the harbor and murder in the<br/>Eastern Quarter... What is this world coming to?,ライホン,昨日は乱闘騒ぎばかりか、東方人街で殺しも…… 今日の便に影響無いのは幸いだが……,昨日は乱闘騒ぎばかりか、東方人街で殺しも……<br/>今日の便に影響無いのは幸いだが……,,
t1400,2,5,Lai Hong,"Fortunately, this has had no effect on the business. Trade and commerce with the Central East have been going smoothly.","Fortunately, this has had no effect on the business.<br/>Trade and commerce with the Central East have<br/>been going smoothly.",ライホン,最近では中東方面との海運も 一層盛んになりつつあるしな。,最近では中東方面との海運も<br/>一層盛んになりつつあるしな。,,
t1400,2,6,Lai Hong,We have to keep this well-oiled machine running.,We have to keep this well-oiled machine running.,ライホン,我々貿易商は、とにかく物流が 止まらないよう走り続けるだけだ。,我々貿易商は、とにかく物流が<br/>止まらないよう走り続けるだけだ。,,
t1400,3,7,Customs Officer Rafale,There's been even more murders? I can't believe it...,There's been even more murders? I can't believe it...,税関職員ラファール,二度も死人の出る事件があるとはな……,二度も死人の出る事件があるとはな……,,
t1400,3,8,Customs Officer Rafale,"I feel for the victims. If I find out that Heiyue was involved in any capacity, then I'm gonna bust down their door.","I feel for the victims. If I find out that Heiyue was<br/>involved in any capacity, then I'm gonna bust down<br/>their door.",税関職員ラファール,犠牲者には同情するが、黒月が何かしら 関与しているというのならば話は別だ。,犠牲者には同情するが、黒月が何かしら<br/>関与しているというのならば話は別だ。,,
t1400,3,9,Customs Officer Rafale,Those murders never would've happened if Heiyue was out of the picture. They attract criminals like flies to manure.,Those murders never would've happened if Heiyue<br/>was out of the picture. They attract criminals like flies<br/>to manure.,税関職員ラファール,こういう事件も……かのシンジケートが この街に呼び寄せている面もあるんじゃないかね？,こういう事件も……かのシンジケートが<br/>この街に呼び寄せている面もあるんじゃないかね？,,
t1400,3,10,Customs Officer Rafale,I heard some people got killed on Heiyue's turf last night—but no one's talking about that.,I heard some people got killed on Heiyue's turf last<br/>night—but no one's talking about that.,税関職員ラファール,昨晩は黒月の縄張りで殺人事件があったと 聞くが……大きな混乱がある訳でもなさそうだな。,昨晩は黒月の縄張りで殺人事件があったと<br/>聞くが……大きな混乱がある訳でもなさそうだな。,,
t1400,3,11,Customs Officer Rafale,"Whether that happened or not, though, I've gotta continue monitoring them.","Whether that happened or not, though, I've gotta<br/>continue monitoring them.",税関職員ラファール,まあ、どの道私のやる事に変わりはない。 連中が貿易業に関与し続ける限りは……,まあ、どの道私のやる事に変わりはない。<br/>連中が貿易業に関与し続ける限りは……,,
