gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
t2000,1,1,CHR_THIS,These settings are for checking mob placement during day/evening/night. Remove these once they are no longer needed.,These settings are for checking mob placement<br/>during day/evening/night. Remove these once they<br/>are no longer needed.,CHR_THIS,昼・夕・夜のモブ配置確認用です。 ※不要になりましたら削除をお願いいたします。,昼・夕・夜のモブ配置確認用です。<br/>※不要になりましたら削除をお願いいたします。,,
t2000,2,2,Darvis,I noticed things have calmed down finally. Thank the Goddess. I wonder if the cops were actually useful for once?,I noticed things have calmed down finally. Thank<br/>the Goddess. I wonder if the cops were actually useful<br/>for once?,ダルビス,昨日までみたいに物騒なトラブルが減って 助かるが……昨晩警察が動いていたのと関係あるのか？,昨日までみたいに物騒なトラブルが減って<br/>助かるが……昨晩警察が動いていたのと関係あるのか？,,
t2000,2,3,Darvis,"There's still a lot to do with the festival, but now I feel a bit more confident about making it through it all in one piece.","There's still a lot to do with the festival, but now I<br/>feel a bit more confident about making it through it<br/>all in one piece.",ダルビス,大きな催しだから大変な事に変わりはないが、 改めて最後まで頑張るとしよう。,大きな催しだから大変な事に変わりはないが、<br/>改めて最後まで頑張るとしよう。,,
t2000,2,4,Darvis,"It probably doesn't hurt that with the sightseeing airships flying around, folks on the ground are paying more attention to the sky.","It probably doesn't hurt that with the sightseeing<br/>airships flying around, folks on the ground are paying<br/>more attention to the sky.",ダルビス,遊覧している飛行船見たさに、 注意が上に行ってしまう人もいるだろうしな。,遊覧している飛行船見たさに、<br/>注意が上に行ってしまう人もいるだろうしな。,,
t2000,2,5,Darvis,"I saw that the cops've been more active around here lately, so I got curious and decided to ask what was up.","I saw that the cops've been more active around here<br/>lately, so I got curious and decided to ask what<br/>was up.",ダルビス,警察の人たちが動いているみたいだから 試しに聞いてみれば……,警察の人たちが動いているみたいだから<br/>試しに聞いてみれば……,,
t2000,2,6,Darvis,"They wouldn't tell me much, but it sounds like there's something bad going around the city that's causing problems.","They wouldn't tell me much, but it sounds like there's<br/>something bad going around the city that's<br/>causing problems.",ダルビス,詳しくは教えてくれなかったが、 何やら問題のある品が流通していたとか何とか……,詳しくは教えてくれなかったが、<br/>何やら問題のある品が流通していたとか何とか……,,
t2000,2,7,Darvis,"With all the fights that've been breaking out, I'd bet they're after what's making people go nuts.","With all the fights that've been breaking out, I'd bet<br/>they're after what's making people go nuts.",ダルビス,確かに最近のゴタゴタした感じを見ると、 そういうのがあってもおかしくない感じはしたよ。,確かに最近のゴタゴタした感じを見ると、<br/>そういうのがあってもおかしくない感じはしたよ。,,
t2000,2,8,Darvis,"I heard from the cops that folks around town have been getting, uh, rowdy lately.","I heard from the cops that folks around town have<br/>been getting, uh, rowdy lately.",ダルビス,警察からも聞いたが、どうも近頃は 途中から興奮して荒れる奴も多いとか。,警察からも聞いたが、どうも近頃は<br/>途中から興奮して荒れる奴も多いとか。,,
t2000,2,9,Darvis,"Around here, at least, people are going feral over parking spaces.","Around here, at least, people are going feral over<br/>parking spaces.",ダルビス,駐車場でも、駐車スペースを巡っての 殴り合いが何度か起きているし……,駐車場でも、駐車スペースを巡っての<br/>殴り合いが何度か起きているし……,,
t2000,2,10,Darvis,"I'll try my best to hang in there until the end of the festival, but to tell you the truth, I'm at the end of my rope physically.","I'll try my best to hang in there until the end of the<br/>festival, but to tell you the truth, I'm at the end of my<br/>rope physically.",ダルビス,催しが終わるまでは責任持って 頑張りたいが……正直体力の限界だ。,催しが終わるまでは責任持って<br/>頑張りたいが……正直体力の限界だ。,,
